title,production,release_year,genre1,genre2,genre3,director1,director2,actor1,actor2,actor3,budget,production_country
Azimuth,  Mariella Productions ,2017, Action , Drama , War, Mike Burstyn,,Yiftach Klein,  Naama Preis,  Sammy Sheik,0.5,US
Miracle on 42nd Street,  Honest Engine Films ,2018, Documentary,,, Alice Elliott (I),,Larry David,  Giancarlo Esposito,  Donald Faison,0.4,US
The Odds,  Uproar Pictures ,2018, Horror,,, Bob Giordano (II),,Abbi Butler,  James J. Fuertes,  Katie Gunn,0.25,US
Coyote: The Mike Plant Story,  Sparkplug Films ,2017, Documentary , Adventure , Biography, Thomas M. Simmons,,Mike Plant,  Philippe Jeantot,  Ken Read,0.5,US
The Misfortunes of Francois Jane,  Pearse Projects ,2016, Drama,,, Patrick Pearse (I),,Pierre Cevaer,  Mathilde Ollivier,  Andy Gillet,1.4,AU
Aphrodisiac,,2017, Documentary,,, Yusuf Al-Rahman,,Arielle Moxey,  Lela Wright,  Jacqueline Parker,0.002,
Wolf House,  White Lion Studios ,2016, Horror,,, Ken Cosentino , Matt D. Lord,Jessica Bell,  Ken Cosentino,  Marcus Ganci-Rotella,0.005,US
Copycat,  Firestorm Pictures ,2016, Comedy,,, Kevin Cook (X) , Todd Rodgers (III),CJ Wostal,  Kevin Machate,  Josh Pack,0.25,US
Locos de Amor,  Tondero Films ,2016, Comedy , Musical,, Frank PÃ©rez-Garland,,Gianella Neyra,  Jimena Lindo,  Rossana Fernández Maldonado,0.75,PE
The Killing$ of Tony Blair,  Molucca media ,2016, Documentary,,, Sanne van den Bergh , Greg Ward (IX),Hugo Antoine,  Yann Darkwa,  François Dupont,2,GB
She's Got a Plan,  CorFat Productions ,2016, Comedy,,, Fatima Washington , Corey Johnson (XXIV),Golden Brooks,  Tsai Chin," "" Janet DuBois""",0.2,US
70 80 90,  Meiya Culture ,2016, Drama,,, Jenny Lin (XI),,Kenji Wu,  Ji-hyo Song,  Rui Chen,3,CN
Andy's Rainbow,  Amor Domini Productions ,2016, Drama , Romance,, Adam Dufour,,Shelby Taylor Mullins,  Jacob Dufour,  Victoria Jackson,0.05,US
Kayla,  Kayla Movie ,2018, Drama , Family , Musical, Kate Bohan,,Kayla Bohan,  Kyle Devero,  Isabel Zhong,2.6,US
A Fat Wreck,  Open Ended Films ,2016, Documentary,,, Shaun Colon,,Fat Mike,  Erin Burkett,  Joey Cape,0.685,US
The Espadrillo Fortune,  Bluemerlin Studios ,2017, Adventure,,, Luis M Ventura,,Harry Feltham,  Alexander Davies," "" Danny DAnzieri""",0.5,CH
Evil in Her,  Dynamic Features ,2017, Horror,,, Arun Konda,,Junie Hoang,  Claire Bermingham,  Ben Whalen,0.15,US
Roxana,  Roxy Films,2018, Animation , Crime , Drama, Elahe Massumi,,Lara Wolf,  Mary Apick,  Eric Etebari,1.5,
LoveSexHate,  Driving With Our Eyes Shut ,2017, Drama,,, Glenn Berggoetz,,Giovanna Leah,  Jason W. Griffith,  Libby Baker,0.01,US
Saving Dreams,,2016, Drama , Music , Romance, Isioro Tokunbo Jaboro (I),,Karen Simpson,  Martin Lindquist,  Nosa Obaseki,0.3,
Cranium Intel,  Burnin Rubber Music Publishing / Royal Middleton Publishing ,2016, Animation , Action , Adventure, Aeneas Middleton,,Jayson Koko Bridges,  Aeneas Middleton,  Denise Moreno,2.4,US
DM,,2016, Thriller,,,,,Terrence Canidate,  Jameel Gordon,  Adrian Lockett,0.025,
I Like Me,  MindInMotion ,2018, Comedy,,, Joshua Land (I),,Sue Schaffel,  Anna Fagan,  Chris Kozlowski,0.038,US
Maligno,  AV Films ,2016, Horror , Mystery,, Paco Bardales , Martin CasapÃ­a Casanova,Sofía Rocha,  Fiorella Pennano,  Gino Pesaressi,0.7,PE
BROS.,,2017, Comedy,,, Don Tjernagel , Don Tjernagel,Courtney Aber,  Josh Bash,  Travis Beck,0.005,
Yo no soy guerrillero,  Escuadron Cinema ,2017, Comedy,,, Sergio SÃ¡nchez SuÃ¡rez,,Luis Arrieta,  Juan Pablo Castañeda,  Mario Escalante,1.2,MX
Bodies,  Pretty Monkeys ,2016, Horror,,, Rodney Wilson (I),,Joe Bocian,  Brian Landis Folkins,  Jenice Marshall,0.5,US
Brides of Satan,  Joe Bizarro Studios ,2017, Horror,,, Joe Bizarro,,Mindy Robinson,  Joanna Angel,  Serena Lorien,0.066,US
House of Whores 2: The Second Cumming,  Average At Best Films ,2016, Horror,,, Tom Komisar , Daniel Murphy (XIX),Craig Lemons,  Paul Arnone,  Vergena Fields,0.001,US
Never Give Up,  RAWI Positive Note Productions ,2017, Drama,,, Sharina Johnson,,Rory Ogden,  Daverin Wisher,  Joy Hymon,0.025,US
She Was So Pretty: Be Good for Goodness Sake,  Dirt Candy Productions ,2017, Horror,,, Brooklyn Ewing,,Jerry Larew,  Destiny Brooke Loper,  Corey Rutter,0.008,US
Snitches,  Rahaman Studios ,2016, Action , Crime , Drama, Steve Rahaman,,"""Daniel OShea""",  Kevin Moccia,  Kenneth Carrella,0.08,US
Groundhog,  BoomBastic Films ,2017, Comedy , Horror,, David McDonough (IV),,Lilith Astaroth,  James Balsamo,  Richard Chandler,0.007,US
Joy,,2016, Drama,,, Chinguun Balkhjav (I),,Courtney Lauren Cummings,  Jo Krasevich,  P.J. Marino,0.05,
La Gran Promesa,  Beanca Films ,2017, Drama,,, Jorge RamÃ­rez SuÃ¡rez (I),,Juan Manuel Bernal,  Ilithya Manzanilla,  Sam Trammell,4,MX
Hollywood I'm Sorry,,2018,,,, Fernando Escovar,,Kevin Hart,  Danny Trejo,  Esai Morales,1,
Sunday Morning,  Downbeat Entertainment ,2017, Drama , Family , Thriller, Matthew Allen (XXVII),,Tristan McIntyre,  Ethan Haslam,  Summer Moore,0.01,US
Mississippi Whistle,  Farmin' Dreams Studios ,2018,,,, Justyn Bell (I),,Jason Bridges,  Justyn Bell,  Ivan Mbakop,0.001,US
Chasing Evel: The Robbie Knievel Story,  Profile Films ,2017, Documentary , Biography , Sport, Jesse James Miller,,Robbie Knievel,  Bill Rundle,  Alicia Knievel,1,CA
Night Job,  Sacred9Films ,2017, Comedy,,, J. Antonio (I),,Lester Greene,  Bettina Skye,  Larissa Santiago,0.035,US
Kensho at the Bedfellow,  Kensho Film ,2017, Drama,,, Brad Raider,,Brad Raider,  Kaley Ronayne,  Steven Klein,0.2,US
Durga Sohay,  AVMA Media ,2017, Drama , Family,, Arindam Sil,,Sohini Sarkar,  Tanushree Chakraborty,  Debjani Chatterjee,0.1,IN
How to Let Go of the World and Love All the Things Climate Can't Change,  International WOW Company ,2016, Documentary,,, Josh Fox,,Lester Brown,  Ella Chou,  Tim DeChristopher,1.6,US
Bloodhound Law,  SlateGate Cinema ,2017, Western,,, David M. Gutel,,Peter Sherayko,  Kurtis Anton,  Jeremy Childs,0.055,US
George Fest: A Night to Celebrate the Music of George Harrison,,2016, Music,,,,,George Harrison,  Ian Astbury,  Jonathan Bates,0.8,
Deviance,  Let it Reign Productions ,2017, Thriller,,, James Hennigan,,James Hennigan,  Tracey Allyn,  Greg Thompson,0.018,US
Bigfoot,  Expedition Films,2017, Horror , Thriller,, Mc Jones,,Brian Krause,  Rachel Hendrix,  Michael Joiner,1.3,
The Homeless Billionaire,  Fraydun Productions ,2016, Comedy,,, Fred Manocherian,,Victor Alfieri,  Marianne Hettinger,  Chloe Keiffer,5,US
The Enemy,  Blitz Entertainment ,2018, Horror , Mystery , Thriller, Alexander Kane (II),,Giles Alderson,,,1,US
Ka Bodyscapes,  Inner Silence Films ,2016, Drama,,, Jayan Cherian,,Naseera,  Rajesh Kannan,  Jason Chacko,0.25,US
The Very Private Work of Sister K,  Captain Queenie Production ,2016, Drama,,, Johan Liedgren,,Liza Curtiss,  Jaryl Draper,  Bradley Goodwill,0.9,US
Invasion Earth,  Greenway Entertainment ,2016, Sci-Fi,,, James Twyman (III),,Jon-Paul Gates,  Steven M. Smith,  Tony Fadil,0.25,GB
Grrrl: Beauty Is The Beast,  360 Films ,2018, Documentary,,, Gino Raphael Payne,,Amanda LaCount,  Tiphany Adams," "" Mia Denae Brathwaite""",0.022,US
Caged Beauty,  Cinema Epoch ,2016, Drama,,, Gregory Hatanaka,,Silvia Suvadová,  Jesse Hlubik,  Andrea Harrison,1,US
Inhumanwich!,  Argo One Productions ,2016, Comedy , Horror , Sci-Fi, David Cornelius (IV),,Matt Laumann,  Michael Peake,  Jack Burrows,0.002,US
Sorceress,,2017, Drama , Fantasy , Horror, Naama Kates , Jarkko T. Laine (I),Naama Kates,  Oona Airola,  Maritta Viitamäki,0.5,
Brooklyn Tide,  Crimson Engine ,2016, Action , Crime , Thriller, Rubidium Wu,,Clem McIntosh,  J.D. Brown,  Bern Cohen,2,US
Suddenly Twenty,  CJ Major Entertainment ,2016, Comedy , Romance,, Araya Suriharn (I),,Mai Davika Hoorne,  Rong Kaomulkadee,  Niranuch Patamasute,1,TH
Valerie,  Hammer Fist Productions ,2018, Drama , Thriller,, Wade Hampton (VIII) , Tyler J. Shaw (II),Michele Wienecke,  Kathryn Kozody,  Amber Bissonnette,0.05,US
Culling Hens,  Jarvis Films ,2016, Drama , Mystery,, Christopher Jarvis (I) , Alex Loeb,Stine Fischer Christensen,  Tom Guiry,  Heather Matarazzo,0.035,US
Hall,  Hall-e-Wood Productions ,2017, Documentary,,, Rommel Hall,,Janina Gavankar,  Michelle Monaghan,  Elle Fanning,0.003,BB
Savage,  FoxTrot Productions ,2017, Thriller,,, Emir Skalonja,,Jacob Hodgson,  John Karyus,  Fattie King,0.001,US
Demon with the Atomic Brain,  All For George Productions ,2017, Sci-Fi,,, Christopher R. Mihm,,Amanda Tietz,  Jeremy Frandrup,  Tyler Haines,0.01,US
In Echo Park,  Cement Head Films ,2018, Crime , Drama,, Nathaniel Lezra,,Kevin Gage,  Rose Stahl,  Joanna Angel,0.06,US
'85: The Greatest Team in Pro Football History,  Chila Productions ,2016, Sport,,, Scott Prestin,,Barack Obama,  Mike Singletary,  Jim McMahon,0.65,US
Wetware,,2017, Sci-Fi,,, Jay Craven,,Bret Lada,  Jessica Blank,  Nicole Shalhoub,0.5,
Gumshoe!,  Gumshoe Productions ,2016, Comedy,,, Michael Webb (XIX),,Gregg Goldsbury,  Braden Bullard,  Daniella Mason,0.35,US
Bhanwarey,,2017, Comedy,,, Shaurya Singh,,Shaurya Singh,,,0.15,
Vulassic Park,  Richardson Productions ,2018, Comedy,,, Timothy Alan Richardson,,Lucas Dietz,  Zach Gassman,  Michael Kouroubetes,0.01,US
Naila and the Uprising,  Just Vision Films ,2017, Documentary , Animation , History, Julia Bacha (I),,Naila Ayesh,  Zahira Kamal,  Naima Al-Sheikh,1.1,US
Michael Myers: Absolute Evil,  AD Nauseam XI ,2016, Horror,,, Rick Gawel,,Brenda Arsenault,  Marc Arturi,  Beka,0.003,US
Papita 2da Base,  Escotilla Films ,2017, Comedy , Romance,, Luis Carlos Hueck,,Jean Pierre Agostini,  Juliette Pardau,  Juan Andrés Belgrave,1.2,VE
O lyubvi,  Studio 2-B-2 entertainment ,2017, Drama , Romance , Thriller, Vladimir Bortko,,Anna Chipovskaya,  Dmitriy Pevtsov,  Aleksey Chadov,2,RU
Room 105,  Another Film Fund ,2016, Drama , Thriller,, Patrick Mulvihill (III),,Jon Abrahams,  John Robinson,  Lorraine Nicholson,1,US
Maracaibo,  Pensa & Rocca Producciones ,2017, Crime , Drama , Thriller, Miguel Angel Rocca,,Jorge Marrale,  Mercedes Morán,  Nicolás Francella,0.75,AR
Exploitation,  Bill Zebub Productions ,2018, Comedy,,, Bill Zebub,,Jessica Albano,  Kayla Browne,  Holly Gurbisz,0.004,US
Rip Rip Hooray!,  Bow and Arrow Entertainment ,2016, Documentary , Biography , Comedy, Anthony Barnao,,Rip Taylor,  Johnny Knoxville,  Debbie Reynolds,0.4,US
What's in a Name,,2016, Drama,,, Elva NelsonHayes,,Imani Aigheyisi,  Kyla Alexandre,  Kyla Alexandre,0.014,
Savage,  An Independent Production ,2017, Comedy , Drama,, Dakota Gamble,,Jacob Hodgson,  John Karyus,  Fattie King,0.011,US
Aghora: The Deadliest Blackmagic,,2018, Horror,,, Francois Larosa,,Tj Condit,  Sunday Flint,  Jennifer Bailey Frost,0.4,
The Fuzz,  Indican Pictures ,2017, Crime,,, Steve Hicks (II),,Josh Adell,  Todd Robert Anderson,  Matthew Ashford,0.4,US
Slut or Nut: The Diary of a Rape Trial,  Another Jane Doe Productions ,2018, Documentary,,, Kelly Showker,,Curt Jaimungal,  Georgia Tannis,  Mandi Gray,0.025,CA
Happy New Year,,2017, Romance,,, Dev Kumar Shrestha,,B.C. Patil,  Sai Kumar,  Vijay Raghavendra,0.065,
Speed Demons,  High Speed Films ,2018, Documentary,,, Andrew Thibault,,Peter Breggin,  Ryan Ehlis,  Jonathan Emord,0.03,US
Nightfall,  RKR Films ,2017, Horror,,, Al Rios-Hannon , Gabriel Rios-Hannon,Eric Jaeckel,,,0.004,US
Killing Poe,  Barometric Media ,2016, Comedy,,, Nathan Andrew Jacobs,,Matt Bush,  Osric Chau,  Julianna Guill,2.5,CA
Death by Potato,  Dreamer Entertainment ,2016, Comedy , Mystery,, Cameron Covell,,Allison Andreas,  Keanu Beausier,  Lori Berg,0.005,US
Arise from Darkness,  Ave Fenix Pictures ,2016, Thriller,,, La Raza , Zachary Laoutides,Zachary Laoutides,  Emmanuel Isaac,  Samuel Younan,1.2,US
Grand Unified Theory,  Second Chance Productions ,2016, Comedy , Drama , Family, David Ray (III),,Kendall Cross,  Gabrielle Rose,  Nils Hognestad,0.13,CA
Amityville: Vanishing Point,  Disck Pictures ,2016, Horror,,, Dylan Greenberg,,Selena Mars,  Amanda Flowers,  Mickala McFarlane,0.001,US
Anna,  MGI Films ,2017, Horror,,, Michael Crum (I),,Justin Duncan,  Gerald Crum,  Rebekah Lynn Bruflodt,0.03,US
God Knows Where I Am,  Wider Film Projects ,2016, Documentary , Biography , Drama, Jedd Wider , Todd Wider,Paul Appelbaum,  Joan Bishop,  Doug Bixby,1.1,US
The Bobcat Boys,  Abby Normal Pictures ,2017, Comedy,,, Mac Alsfeld,,Mac Alsfeld,  Zach Chiappellone,  Andrew Megison,0.075,US
Out of Darkness,  Building Seven Media Company ,2016, Documentary,,, Amadeuz Christ,,Umar Johnson,  Sabir Bey,  Claud Anderson,0.03,US
A Devil's Wind,  Bill Zebub Productions ,2017, Horror,,, Bill Zebub,,Erica Leigh Boseski,  Kayla Browne,  Brielle Edborg,0.005,US
Dispatches from the Gulf,  Screenscope,2016, Documentary,,, Hal Weiner (I),,Matt Damon,,,0.5,
Didi's Dream,  Le Vision Pictures ,2017, Comedy , Fantasy , Romance, Kevin Tsai (I),,Dee Hsu,  Scar Kim,  Chiling Lin,1.5,CN
Choices,  Your Choice Foundation ,2018, Drama,,, Aeyron Moore (I),,Vin Hawke,  Liamn Burke,  Barry Evans,0.1,US
Love and She,  Wolfpack Pictures ,2016, Drama , Romance,, Saad Khan (I),,Kelly Murtagh,  Robert John Gilchrist,  Rachel G. Whittle,0.5,US
Blur Circle,  Theoretical Entertainment ,2016, Drama,,, Christopher J. Hansen,,Cora Vander Broek,  Matthew Brumlow,  Ryan Artzberger,0.05,US
No Mans Land,  Rivas Enterprise Films ,2017, Thriller,,, Thomas Rivas,,Curt Martin,  M. Elizabeth Dickerson,  Alexandria Grable,0.03,US
Out of the Darkness,  Hydra Entertainment ,2016, Drama,,, Shawn Justice,,Adam Elliott Davis,  Graham Greene,  John Lewis,0.5,US
Pope,  Film Village ,2017, Crime , Drama,, Dwight White (II),,Kevin L. Walker,  Noel Gugliemi,  Neil Brown Jr.,1.4,US
Diamond Eye: T.H.O.T. Process 2,  Villain TV ,2017, Comedy,,, Villa Mane,,Tia Alicia,  Allie Alvarez,  Heidi Danae Crane,0.03,US
Ismaii,  Fantascope Production ,2017, Drama , Romance,, Philippe Aractingi,,Ruba Zarour,  Hadi Bou Ayash,  Joseph Bou Nassar,1,LB
People,  KONO Productions ,2016, Comedy , Drama,, Shane McGoey,,Dino Dos Santos,  Rane Jameson,  Mustafa Harris,0.065,US
The Listing,  Cerrito Productions ,2017, Thriller,,, Mario Cerrito III,,Janna Bossier,  Rosemary Thomas,,0.025,US
Dinner,  567 Entertainment ,2016, Drama , Thriller,, Jay Franklyn Jituboh,,Kehinde Bankole,  Richard Mofe-Damijo,  Enyinna Nwigwe,0.105,NG
Fragments of Truth,  Faithlife Films ,2018, Documentary,,, Reuben Evans,,Georgia Angelopoulos,  Jacques Berchtold,  J. Keith Elliott,0.1,US
On the 7th Date,,2016, Comedy , Drama,, Chris Goodwin (X),,J.D. Achille,  Nick DeVita,  Robert Fournier,0.007,
Prism,,2017, Comedy , Drama , Romance, Luis Alarcon (I) , Grant Lancaster (I),Mike Starr,  Jessica DiGiovanni,  Victor Verhaeghe,0.025,
Catalina,  Darktrace Films ,2016, Horror,,, Christian Obando (II),,Lena Marie,  Cristian El Nino Sanchez Jr.,  Kara Saadet Schwarz,0.0001,US
Andrea Bocelli Live from Florence,  Ballandi Multimedia ,2016, Documentary , Music,, Daniel E. Catullo,,Andrea Bocelli,  Chad Smith,  Gabby Epstein,0.75,IT
Arvand,  Crossfadefilms ,2016, Action , Drama , War, Pourya Azarbayjani,,Saeed Aghakhani,  Pantea Panahiha,  Mehrdad Sedighian,0.8,IR
It's All Good,  FND Films ,2016, Comedy,,, Aaron Fronk (I),,Vince DeGaetano,  Cooper Johnson,  Aaron Fronk,0.075,US
Yolki novye,  Bazelevs Production ,2017, Comedy,,, Zhora Kryzhovnikov,,Ilya Kostyukov,  Sergey Svetlakov,  Ivan Urgant,3,RU
Hanging Millstone,  Rayhart Entertainment ,2016, Crime,,, Curtis Collins (II),,Kaycie Lee,  Deborah Smith Ford,  Cadence Bambrey-Zedd,0.01,US
Greed: Heavy Is The Hand,  480 Films ,2018, Action,,, Rodney Jackson (II),,Royce Beggs,  Harley Castro,  Damien Michael Chase,0.01,US
Words,  Mattioli Productions ,2018, Documentary,,, A.J. Mattioli,,Charles Dance,  Vivien Reid,  Matthew Marrs,0.04,US
Diana: The Woman Inside,  Screenbound Productions ,2017, Documentary,,, Sonia Anderson (I),,Beatrice Behlen,  Carolan Browne,  Elizabeth Emanuel,0.2,GB
Crescent City Chronicles: Chains in the Attic,  Terminal 52 Films ,2018, Mystery,,, Kelly Weaver (III),,Anthony Penney,  Harvey C. Wilkes,  Tiffany Amanda,0.01,US
Joker,  Dream Warrior Pictures ,2016, Comedy , Drama,, Raju Murugan,,Guru Somasundaram,  Ramya Pandiyan,  Gayathri,0.8,IN
Miles Between Us,  II Films ,2017, Drama,,, Andrew Hunt (VII),,Gloria Kizzier,  Dariush Moslemi,  Eugene Kizzier,0.075,US
Lady Belladonna's Night Shades,  PRC Productions ,2016, Comedy , Horror,, David Salcido (II),,Tawnya Bass,  Jack Lutz,  Donny Prosise,0.125,US
Saanjh,  Silent Hills Studio ,2017, Drama,,, Ajay Saklani,,Asif Basra,  Tanu Bhardwaj,  Aditi Charak,0.12,IN
Pomegranate Orchard,  Azerbaijanfilm ,2017, Drama,,, Ilgar Najaf,,Hasan Agayev,  Samimi Farhad,  Ilaha Hasanova,0.5,AZ
Tourism,  DEEP END PICTURES ,2018, Drama,,, Daisuke Miyazaki (III),,Nina Endô,  Sumire,,0.3,JP
The Lease,  See Thru Pictures ,2018, Horror,,, Paolo Bertola,,Ruben Maria Soriquez,  Garie Concepcion,,0.3,PH
Entre Sombras: Averno,  Azamont ,2016, Thriller,,, X.B. Ruiz,,Juan Pablo Asanza,  Carlos Valencia,  Marlon Pantaleón,0.005,EC
Oranges,,2016, Drama , Mystery,, Elen Boesing,,Frédéric Moulin," "" Laura dAssche""",  Isabelle Ziental,0.05,
Territory,  Everett Lewis Films ,2016, Mystery , Thriller,, Everett Lewis,,Ethan Brice,  Jon Berry,  Kevin Arthurs,0.8,US
I am not Salvador,  Marlik Media ,2016, Comedy,,, Manouchehr Hadi,,Reza Attaran,  Bri Fiocca,  Mehdi Mehrabi,2,IR
Monkey Farm,  CatchMeKillMe Productions ,2017, Horror,,, Ian Messenger (I),,Don Carlos,  Justin Celani,  Tim Christie,0.01,US
Off the Tracks,  Fedora Pictures ,2018, Documentary,,, Bradley Olsen,,Glenn Ficarra,  Walter Murch,  Jan Kovac,0.075,US
Cementerio General 2,  AV Films ,2016, Horror,,, Dorian FernÃ¡ndez-Moris,,Miguel Arce,  Attilia Boschetti,  Mathías Brivio,1.2,PE
Vanquisher,  Rising Dawn Productions,2016, Action , Adventure , Sci-Fi, Dean Gold (I),,Ben Seton,  Dominika Juillet,  Gil Navarra,0.5,
Cuentas Por Cobrar,,2016, Action , Drama,, Ronni Castillo,,Jalsen Santana,  Richard Douglas,  Irvin Alberti,0.033,
Kicking Zombie Ass for Jesus,  La Luna Entertainment,2017, Action , Comedy , Horror, Israel Luna,,Willam Belli,  Erin Marie Garrett,  Krystal Summers,0.15,
Snare,  Pikchure Zero ,2016, Action , Thriller,, Khu , Justin Price (II),Sabina Gavrilov,  Eric Roberts,  Deanna Grace Congo,1.5,US
Foreign Land,  1211 Entertainment ,2016, Drama , Family,, Rafi Girgis,,Jeffrey Licon,  Alex Frnka,  Peter Holden,1.5,US
Desert Drive,  Wickid Pissa Publicity ,2016, Comedy,,, Josh Mitchell (II),,John Curley,  Alexander Michael Helisek,  Dan Gruenberg,0.1,US
OmertÃ ,  SuperKede ,2017, Crime , Thriller,, Colten Dietz,,Rajkummar Rao,  Rajesh Tailang,  Blake Allan,0.02,US
Take Two,  Movies With A Mission/Cornerstone Productions ,2017, Family,,, Robert Kollar,,Rusty Whitener,  Mary Riitano,  Tami Renner,0.02,US
Gods of Perdition,  Alazmat Films ,2018, Horror,,, Alberto Martinez (I),,Camila Campos Katz,  Michael Ciesla,  Paolo Gojcaj,0.002,US
Tethered,  Linchpin Films ,2016, Thriller,,, Chris Foster (V),,Nathan Bonk,  Alexandra Pica,  Brian Ballance,0.002,US
WAYLON: An Intimate Portrait of an Outlaw,  Out Of The Box Entertainment ,2017, Documentary,,, Larry Sands (I),,Richie Albright,  Bobby Bare,  Mark Chesnutt,0.1,US
"To us, From us",  Happy Rhino Film and TV Co. ,2018, Drama,,, Lanxin Yu,,Hai Qin,  Yanxi Ke,  Jingwen Xiong,0.1,CN
Pi Day Die Day,  One Stoplight Productions ,2016, Horror,,, Michael E. Cullen II,,Ari Lehman,,,0.007,US
Fearless,  Angelic Pictures ,2016, Comedy , Drama , Musical, Mark Maine (I),,Grant Crookes,  Ty Hurley,,0.5,US
Say Yes,  Text Engine Productions ,2018, Drama,,, Stewart Wade (I),,Leah McKendrick,  Patrick Zeller,  Matt Pascua,0.027,US
Long Time Coming: A 1955 Baseball Story,  Strong Films ,2017, Documentary,,, Jon Strong,,Hank Aaron,  Andrew Young,  Cal Ripken,0.75,US
Nightblade,  Los Bastardz ,2016, Crime,,, Jim O'Rear , Scott Tepperman,Todd Bridges,  Betsy Rue," "" Jim ORear""",0.1,US
"Fell, Jumped or Pushed",  Trees of Shade ,2016, Comedy,,, Todd Peters (I),,Priscilla Allen,  Abbas Arabzadeh,  Amanda V. Axtell,0.3,US
The Weak Ones,  Animal Tropical Cine ,2017, Comedy , Drama,, Eduardo Giralt (II) , Raul Rico,Jose Luis Lizarraga,  Eduardo Eliseo Martinez,  Javier Díaz Dalannais,0.133,MX
#DigitalLivesMatter,  Archive Entertainment ,2016, Comedy,,, Terri J. Vaughn,,Rashan Ali,  Carlos Aviles,  Brooklyn Beedles,0.2,US
Malicious Intent,  HWF Productions ,2016, Crime , Drama,, Karim Shyllon,,Shane T. Hill,  George Anjorin,  Connie McCoy Rogers,0.02,US
The Founders,  Mighty Fine Pictures ,2016, Documentary,,, Charlene Fisk , Carrie Schrader (II),Ella Marie Cyr,  Bella Lotz,  Caleb Messer,0.35,US
Salsipuedes,"  Viceversa Productions, S.A. ",2016, Drama,,, Ricardo Aguilar Navarro , Manuel RodrÃ­guez (I),Elmis Castillo,  Maritza Vernaza,  Jaime Newball,0.85,PA
Breaking and Entering,,2017, Horror , Mystery , Thriller, Daniel Barnard (II),,Daniel Barnard,  Thomas Ferry,  Caitlyn Cole,0.000006,
Beginner,,2017, Drama,,, BurÃ§ak Ãœzen,,Güven Kiraç,  Muhammet Uzuner,  Ezel Akay,0.3,
Enigma of Being Awake,  Aislinger Films ,2016, Drama , Romance,, Emmeline Kim,,Ryan Adams,  Ashley Angione,  Kiersten Armstrong,0.017,US
Lookin' Up,  Marvkap ,2016, Comedy,,, T.J. Castronovo,,Steve Guttenberg,  Debra Sullivan,  Fay DeWitt,1,US
The Man from Outer Space,,2017, Sci-Fi,,, Ben Hall (XVI),,Todd Christian Elliott,  Christopher Mychael Watson,  Erica Auerbach,0.1,
Aggregate,  FROST Pictures ,2017, Crime , Drama,, Tom Archdeacon,,Darren Keefe Reiher,  Jessica Morris,  Rick Yudt,0.1,US
Mr. Cleaver,,2018, Horror,,, Nik Wendelsdorf,,Dwight Baker,  Danilo A. Daniel,  Patrick Donahue,0.025,
Off Season,,2017, Drama , Thriller,, Robert Cole (XXVIII),,Robert Belushi,  Erica Rhodes,  Barry Shabaka Henley,0.2,
The Thing Before the Thing,,2017, Comedy,,, Mike Piccirillo (I),,Emily Goss,  Crystal Rivers," "" Katie Locke OBrien""",0.03,
Urban Legend,,2016, Horror,,, Alix Lindbergh,,Kirby Gocke,  Alix Kruntorad,  Mike Brabender,0.005,
I Love You from 38000 Feet,  Legacy Pictures ,2016, Romance,,, Asep Kusdinar,,Verrell Bramasta,  Ricky Cuaca,  Tanta Ginting,0.75,ID
Her Name Was Torment 2,  Dustin Mills Productions ,2016, Horror,,, Dustin Mills (I),,Allison Egan,  Haley Madison,  Dustin Mills,0.006,US
Sea of Light,  Transient ,2018, Drama,,, Ayoub Qanir,,Fjölnir Ásbjörnsson,  Gunnar Ágúst Stefánsson,  Ólafur Ragnarsson,0.125,US
Call of the Void,  Immaculata Pictures ,2017, Drama , Mystery , Thriller, Dustin Kahia,,Mojean Aria,  Ashley Clements,  JT Alexander,0.075,US
Sins of the Guilty,  Mosaic Worldwide ,2016, Thriller,,, Marcello Thedford,,Bret Grantham,,,0.45,US
Devi,  Macneill Engineering ,2017, Drama,,, Rick Basu (I),,Paoli Dam,  Shataf Figar,  Elena Kazan,1,IN
Coffee Shop,  Emily Kathleen Productions ,2016,,,, Emily Kathleen (I),,Emily Kathleen,  Jake Jensen,,0.015,US
The Big Lie: American Addict 2,  Pain MD Productions ,2016, Documentary,,, Sasha Knezev,,Jonathan Davis,  Sasha Knezev,  Dennis Kucinich,0.2,US
Loki 7,  Purpleline Productions ,2016, Action , Comedy , Crime, Ernesto Alemany,,Isaac Saviñón,  José Guillermo Cortines,  David Chocarro,2,DO
Doru,  Anibera ,2017, Animation,,, Can Soysal,,Bensu Soral,  Murat Dalkilic,  Oguzhan Koç,1,TR
Power Rangers: Zenith,  StormHouse ,2016, Action , Fantasy , Sci-Fi, Emmanuel Carter,,Patrick Higgs,  Kristine Renee Farley," "" Katy OBrian""",0.015,US
Stay Tuned: The Movie,  Gold Circle Films ,2018, Comedy , Music , Musical, Jason Moore (I),,Eden McCoy,  Bryce Xavier,  Lily Kincade,0.0001,US
MMPR the Last Ranger Parody VII,  P.D.C Productions ,2017, Action,,, Paolo Carascon , Mark Newton (II),Candace Kita,  Gregory Battle,  Kristine Veta,0.04,US
Chicanery,  Foo Dog Productions ,2017, Comedy,,, Charles Dennis (I),,Rose Abdoo,  Elya Baskin,  Drew Bell,0.1,US
Kazakh Business in America,  Gakku ,2017, Comedy,,, Zheniskhan Momyshev,,Nurlan Koyanbayev,  Zhan Baizhanbayev,  Ramazan Amantai,0.25,KZ
